GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,GroupID_z0,SubhaloID_z0,M200c_z0,logM200c_z0,MstarCentral_z8,logMstarCentral_z8,SFRCentral_z8,logSFRCentral_z8,Ngal_R1,MstarTot_R1,Nhalo_R1,MhaloTot_R1,deltaGal_R1,Ngal_R2,MstarTot_R2,Nhalo_R2,MhaloTot_R2,deltaGal_R2,Ngal_R3,MstarTot_R3,Nhalo_R3,MhaloTot_R3,deltaGal_R3,Ngal_R5,MstarTot_R5,Nhalo_R5,MhaloTot_R5,deltaGal_R5,Ngal_R8,MstarTot_R8,Nhalo_R8,MhaloTot_R8,deltaGal_R8,Ngal_R10,MstarTot_R10,Nhalo_R10,MhaloTot_R10,deltaGal_R10,Ngal_R15,MstarTot_R15,Nhalo_R15,MhaloTot_R15,deltaGal_R15,Ngal_R20,MstarTot_R20,Nhalo_R20,MhaloTot_R20,deltaGal_R20
2162,10455,64495720000.0,10.809531211853027,1554,825042,27429380816896.0,13.438216004074071,0.0,,1.4507969617843628,0.1619058832081615,0,0.0,7,42241145225.62288,-1.0,0,0.0,25,230155401712.74927,-1.0,0,0.0,42,363816227846.38214,-1.0,0,0.0,73,578792909270.7943,-1.0,3,712802924.5611556,132,1230162158190.4824,3.659219475764318,5,1109938736.9423022,194,1887129058449.3252,2.9758672859855513,7,1382484459.0446255,280,2564389772046.658,0.649248651964377,8,1616586342.8895085,474,3757769327389.6577,-0.2048265428028897
2163,10460,99526074000.0,10.997937202453612,180,313639,142675005145088.0,14.154347896882348,277331062.0681987,8.442998514833246,3.3984756469726562,0.5314119343398764,0,0.0,4,21010500238.39718,-1.0,0,0.0,6,27991108682.115482,-1.0,0,0.0,9,55257088012.81075,-1.0,0,0.0,36,210486400838.37268,-1.0,0,0.0,127,934428330329.3754,-1.0,4,1778859217.000335,276,2410477301936.816,2.180693828788441,11,3027851322.94793,729,6072899931945.53,1.5916764530868779,20,7579167317.659553,1338,11179358788012.822,0.9879336429927756
2165,10464,91335710000.0,10.960640907287598,1358,784435,30948630462464.0,13.490641435399606,325681359.5789106,8.51279290236688,2.623920440673828,0.41911614480865755,0,0.0,1,4941781590.6726265,-1.0,0,0.0,5,24648026569.00154,-1.0,0,0.0,13,88315252308.1599,-1.0,0,0.0,31,235657067488.24432,-1.0,0,0.0,119,808954194236.513,-1.0,0,0.0,200,1291659839312.7292,-1.0,6,1180371883.3162048,602,4342620762173.392,0.4136417016837517,12,2481924472.494941,1461,10814589402353.219,0.19276018579566534
2166,10466,82170946000.0,10.914718627929688,416,475358,90803720421376.0,13.958103642853386,218327171.22284052,8.339107787829297,2.154416799545288,0.3335312634711631,0,0.0,4,26057437744.18849,-1.0,0,0.0,11,86845642773.49336,-1.0,0,0.0,18,123479333438.1046,-1.0,2,272766880.2796967,64,478095774642.47876,11.722775315153765,3,430581071.62440526,185,1417536900912.4795,3.659219475764318,4,567257760.1382611,250,1908075754484.808,2.180693828788441,4,567257760.1382611,357,2540735140165.6772,-0.05757219887749887,7,1045597421.8484255,800,5695969445984.5205,-0.3042232249525285
2167,10469,70978840000.0,10.851128578186035,1130,731078,39711770935296.0,13.598919254736447,86792877.78150377,7.938484088458752,1.5019696950912476,0.176950223842176,0,0.0,1,6556651269.858095,-1.0,0,0.0,7,34137010345.565983,-1.0,0,0.0,14,81848940922.86412,-1.0,0,0.0,50,448130527832.9537,-1.0,0,0.0,96,752778227020.5842,-1.0,1,282054822.5564875,150,1184470306368.117,-0.2048265428028897,3,519688644.8393644,454,3228087488980.924,-0.29317914915812415,15,8497273298.940072,1186,9495406069250.844,0.4909502322445818
2168,10474,104156860000.0,11.017687797546388,7941,1346577,4906357358592.0,12.69075917721982,340314535.2453829,8.531880498734516,3.481760263442993,0.5419235807323767,0,0.0,0,0.0,-1.0,0,0.0,7,53437866527.91383,-1.0,0,0.0,14,90892543201.7816,-1.0,0,0.0,18,111535585512.62077,-1.0,2,331504366.67379534,69,525604661390.2161,2.106146317176212,2,331504366.67379534,125,954155315506.7292,0.5903469143942206,5,692763403.4760062,288,2243037906576.8286,0.1780347514031264,10,1410043956.2196922,927,7120270657528.807,-0.00603317850361218
2170,10478,107143640000.0,11.029966354370115,2,17936,1033314370584576.0,15.014232469282954,442466130.7743879,8.645880032591483,4.751128196716309,0.6768881479612514,0,0.0,3,13973020569.286343,-1.0,0,0.0,7,33039806214.34187,-1.0,0,0.0,10,53866886005.02994,-1.0,1,104313868.35065816,34,250812917551.81277,5.361387657576882,1,104313868.35065816,126,1123076465705.6611,0.5530731585881059,1,104313868.35065816,213,1740272122962.9385,-0.2048265428028897,20,13180505210.747663,859,9170418353666.06,3.7121390056125056,45,18255315363.024372,1875,18059943365397.816,3.4728506967337456
2171,10480,79622300000.0,10.90103530883789,69,183516,269337868894208.0,14.43029741949233,62652856.41289335,7.79694087574643,1.384372591972351,0.14156659136137123,0,0.0,8,63356311273.03984,-1.0,1,177592889.86471152,19,179342924008.72278,98.39668214963878,1,177592889.86471152,36,400491663759.9169,28.450868785078157,2,425375399.13603646,115,1133670261036.7974,11.722775315153765,6,1678209973.7450018,283,2648522174478.0327,8.318438951528636,9,2635223770.380495,418,3987235890919.7393,6.156561114773993,16,4524914065.22909,905,7984518168253.773,2.7697112044900045,22,8880835861.585768,1550,13280214212234.29,1.1867270072920535
2172,10483,105749150000.0,11.024277687072754,24,94753,367364893835264.0,14.565097651855222,386769383.7145841,8.587452088445952,2.331605911254883,0.3678413718737653,2,1063583358.7835135,7,337928326336.8666,1589.3469143942204,4,1551470740.4505303,29,827045827787.2542,396.5867285985551,6,2672321569.7981596,47,1149228364581.1636,175.70521271046894,7,2776573494.3363004,81,1416705743881.8167,43.529713603038175,7,2776573494.3363004,202,2229639809718.3413,9.871512110116742,10,3239312897.9881854,343,3346932824598.782,6.951734571971103,18,5770718639.236409,869,7902580486890.453,3.2409251050512546,23,6471531101.864614,1467,12236305487245.68,1.286123689441692
2173,10485,78154785000.0,10.892955780029297,1295,770590,17417087483904.0,13.240975533253645,171262467.32457536,8.233662196475027,2.0946075916290283,0.32130996307072807,0,0.0,4,49512342150.879364,-1.0,0,0.0,9,97234124124.73648,-1.0,0,0.0,22,169873548655.65497,-1.0,0,0.0,53,370027074287.30865,-1.0,1,123261367.65963636,91,638731106662.5953,0.5530731585881059,2,280921149.7360322,155,1097570064939.2969,0.5903469143942206,10,1679883749.0408406,389,3109728955205.3647,1.3560695028062528,10,1679883749.0408406,681,5080196148998.311,-0.00603317850361218
