GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,SubhaloID_z0,GroupID_z0,M200c_z0,logM200c_z0,TrackingStatus
1588,8320,65088414000.0,10.813504219055176,444685,362,91775339331584.0,13.962725998946246,success
1589,8326,97975070000.0,10.99111557006836,1095109,3657,12048412966912.0,13.080929844827525,success
1590,8330,72897350000.0,10.862711906433105,1061537,3293,6266538688512.0,12.797027725271585,success
1591,8335,65498583000.0,10.816231727600098,1,0,1535789976518656.0,15.186331828797393,success
1593,8347,73923360000.0,10.868782043457031,157636,54,314248664186880.0,14.497273440256166,success
1594,8353,84810670000.0,10.928450584411621,236464,107,187167024349184.0,14.272229335830058,success
1595,8358,120495880000.0,11.080972671508789,605211,714,52639110791168.0,13.72130854432644,success
1603,8390,67532763000.0,10.829514503479004,445254,363,90174650318848.0,13.955084466877407,success
1604,8394,78958870000.0,10.897400856018066,359092,234,160051117424640.0,14.204258710592997,success
1608,8413,79146280000.0,10.898430824279785,323749,191,156477503307776.0,14.194451908070404,success
1609,8419,109072790000.0,11.03771686553955,1121137,3961,9645792952320.0,12.984337935521799,success
1613,8438,88419420000.0,10.946547508239746,599045,697,55324035776512.0,13.742913853496914,success
1615,8447,114691965000.0,11.05953311920166,1467927,11523,3880721842176.0,12.588912515005585,success
1616,8449,104385765000.0,11.018641471862793,282174,148,122913483128832.0,14.089599525907348,success
1617,8450,75970910000.0,10.880647659301758,922944,2134,24733357703168.0,13.393283078470935,success
1618,8454,89230200000.0,10.950511932373047,120494,35,381228075188224.0,14.581184876358591,success
1619,8459,112521510000.0,11.051236152648926,706694,1041,28719477424128.0,13.458176533276308,success
1620,8461,93098030000.0,10.968940734863281,1186691,4852,9032182005760.0,12.955792680389546,success
1621,8466,92236644000.0,10.964903831481934,528429,525,57845856862208.0,13.762272258597758,success
1622,8471,67491110000.0,10.829246520996094,58083,11,547336941993984.0,14.738254761430827,success
1623,8475,111941460000.0,11.048991203308105,539107,549,50785257783296.0,13.705737661249543,success
1626,8488,100413055000.0,11.001790046691895,965175,2442,18385997922304.0,13.264487206703567,success
1627,8492,102396700000.0,11.010286331176758,1449110,10892,3250184781824.0,12.511908052500496,success
1628,8495,117172126000.0,11.068824768066406,269847,137,173721042026496.0,14.239852425715519,success
1629,8496,67854774000.0,10.83158016204834,415071,313,106644214120448.0,14.027937298194024,success
1630,8498,102461960000.0,11.010562896728516,815384,1505,26499977576448.0,13.42324550644892,success
1631,8501,90773110000.0,10.95795726776123,372433,251,119521037778944.0,14.077444355385916,success
1632,8504,132556310000.0,11.122400283813477,337382,207,96327551680512.0,13.983750522134436,success
1633,8506,73162890000.0,10.864291191101074,307862,174,128181143076864.0,14.107824140159273,success
1634,8510,108994660000.0,11.037405967712402,198215,79,253893451710464.0,14.404651499917893,success
1635,8512,82893150000.0,10.918519020080566,1330153,7546,5541938593792.0,12.743661709370242,success
