GroupID_z8,SubhaloID_z8,GroupID_z0,SubhaloID_z0,logM200c_z8,logM200c_z0,M0_bin,ParticleMembership,N_DM_total,N_DM_sampled,N_DM_matched,DM_match_fraction,R_Lag_analytic_cMpc,R50_cMpc,R68_cMpc,R80_cMpc,R90_cMpc,Rrms_cMpc,b_over_a,c_over_a,Triaxiality,R_environment_opt_cMpc,fprog_at_Ropt,Nhalo_R10,Ngal_R10,fprog_R2,fprog_R3,fprog_R5,fprog_R8,fprog_R10,fprog_R15,fprog_R20
2362,11141,1944,893750,10.976385116577148,13.406962951032986,12.5-13.5,R200c,392595,10000,10000,1.0,5.370506513606261,3.6040306404442615,4.2417897968483285,4.787506102823125,5.388869692274681,4.003397468536914,0.8073597066863296,0.5658755826772036,0.5121772232196443,5.0,0.7856,239,5,0.1511,0.336,0.7856,0.9896,0.9955,0.9972,0.9998
5618,21668,1604,834791,10.848577499389648,13.437237525311708,12.5-13.5,R200c,410474,10000,10000,1.0,5.496759965008861,3.8323195933928433,4.532846507798175,5.333521522404238,6.356249696989433,4.333100545143461,0.8827032337460798,0.5619939705321003,0.3227813738638908,5.0,0.6053,189,0,0.1101,0.2467,0.6053,0.9218,0.9958,1.0,1.0
1529,8095,1258,762175,11.078545570373535,13.452669202541903,12.5-13.5,R200c,427471,10000,10000,1.0,5.562252050816343,4.029701804842594,4.7059689638301085,5.236656660850304,5.940777712211769,4.303443583502569,0.9521196356415089,0.6325496529715471,0.15581125142471544,5.0,0.5976,168,1,0.114,0.2647,0.5976,0.9439,0.9932,1.0,1.0
4316,17698,924,673510,10.842662811279297,13.537055745170164,13.5-14.0,R200c,513928,10000,10000,1.0,5.934436844706607,4.802482756952568,5.838283663319938,6.796212742891999,8.191774891296514,5.800955619480614,0.4243204136353805,0.40229691751594626,0.9782797262868381,8.0,0.6983,273,1,0.0716,0.1537,0.4012,0.6983,0.8475,0.9996,1.0
1295,7164,1198,747447,10.919711112976074,13.54973689146475,13.5-14.0,R200c,545125,10000,10000,1.0,5.992479556900921,4.314721698334555,5.052977926455608,5.542621459663159,6.108807416495045,4.505160656060504,0.9434246815232458,0.7606412687075003,0.2609002947863717,8.0,0.9179,133,4,0.092,0.2095,0.5182,0.9179,0.9915,1.0,1.0
133,1234,1140,733689,10.918360710144045,13.561205846770225,13.5-14.0,R200c,539207,10000,10000,1.0,6.045462703896809,4.011657418024855,4.721741129145602,5.24992585876539,5.969930103284922,4.299679728637196,0.8224022395615075,0.7020660652178246,0.6382419412658848,8.0,0.9687,182,1,0.1048,0.2507,0.709,0.9687,0.9969,0.9998,1.0
351,2595,957,683595,11.140411376953123,13.655416183698565,13.5-14.0,R200c,670067,10000,10000,1.0,6.4987973076227705,4.4773460592224925,5.209700514853003,5.815458268189348,6.57631636477964,4.803092620880864,0.8805995312435678,0.7575061671141584,0.5268716123802342,8.0,0.9556,246,3,0.0807,0.206,0.5902,0.9556,0.9952,1.0,1.0
9834,33346,690,596376,10.812094688415527,13.710097085708812,13.5-14.0,R200c,751804,10000,10000,1.0,6.777350700601283,4.548472320733127,5.3320303997258724,6.01816979947521,7.041757693415551,5.275967430208292,0.9158147441476467,0.6787639283124873,0.29907190157002445,8.0,0.9015,271,3,0.0553,0.1657,0.536,0.9015,0.9611,0.9934,0.998
549,3716,520,526288,11.158607482910156,13.77008373918645,13.5-14.0,R200c,865009,10000,10000,1.0,7.096684701116601,5.553942348117181,6.7882941095115115,7.809366553465987,9.404393050995104,6.312910647016574,0.6339671970563793,0.4877531969573105,0.7847895152649605,8.0,0.6929,149,1,0.0538,0.1297,0.3642,0.6929,0.8012,0.9713,1.0
1345,7363,772,624856,11.088354110717772,13.775427024035166,13.5-14.0,R200c,888389,10000,10000,1.0,7.125848837672281,5.524904504728823,6.335079966619445,6.980407336023489,7.637222844650949,5.728599922753898,0.6984000048056793,0.5424210465627574,0.7257755430419959,8.0,0.6952,186,1,0.0601,0.1249,0.2954,0.6952,0.9119,1.0,1.0
