GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,GroupID_z0,SubhaloID_z0,M200c_z0,logM200c_z0,MstarCentral_z8,logMstarCentral_z8,SFRCentral_z8,logSFRCentral_z8,Ngal_R1,MstarTot_R1,Nhalo_R1,MhaloTot_R1,deltaGal_R1,Ngal_R2,MstarTot_R2,Nhalo_R2,MhaloTot_R2,deltaGal_R2,Ngal_R3,MstarTot_R3,Nhalo_R3,MhaloTot_R3,deltaGal_R3,Ngal_R5,MstarTot_R5,Nhalo_R5,MhaloTot_R5,deltaGal_R5,Ngal_R8,MstarTot_R8,Nhalo_R8,MhaloTot_R8,deltaGal_R8,Ngal_R10,MstarTot_R10,Nhalo_R10,MhaloTot_R10,deltaGal_R10,Ngal_R15,MstarTot_R15,Nhalo_R15,MhaloTot_R15,deltaGal_R15,Ngal_R20,MstarTot_R20,Nhalo_R20,MhaloTot_R20,deltaGal_R20,M0_bin,R_Lag_analytic_cMpc,TargetX_cMpc,TargetY_cMpc,TargetZ_cMpc
982,5784,128987250000.0,11.110547065734863,426,480348,84509076750336.0,13.926903357125804,425968082.7036346,8.629377059137957,6.427562713623047,0.8081138850056223,0,0.0,3,15906902464.012638,-1.0,0,0.0,7,135756650258.20872,-1.0,4,1144119444.0521672,22,575625284921.1127,116.80347514031264,6,1421493538.88769,47,916416111564.7206,37.16832594546129,7,1821517537.3806937,118,1468101752510.0342,9.871512110116742,7,1821517537.3806937,164,1860967205668.5376,4.566214200379772,7,1821517537.3806937,369,3346493234844.168,0.649248651964377,11,2743982607.3805275,804,6575913018081.48,0.0933635036460267,13.5-14.0,8.00439876618016,142.04476675524063,111.6783727302923,193.79405631827578
3361,14577,86125760000.0,10.93513298034668,178,311727,91614747820032.0,13.961965390494417,128682822.66658494,8.10952057861381,2.043853521347046,0.3106622037129953,2,355633086.78530014,9,169579453099.81927,1589.3469143942204,3,504980615.53017735,21,320102543888.2413,297.19004644891635,3,504980615.53017735,32,405804077749.0243,87.35260635523447,3,504980615.53017735,84,860257062688.1398,18.084162972730645,4,662773482.9700553,181,1607239108883.5286,5.212292634352424,5,877846497.0799509,317,2757877656095.037,2.9758672859855517,10,1713362045.9006746,724,5647655859576.38,1.3560695028062528,24,5246469187.862336,1499,12310295936972.965,1.385520371591331,13.5-14.0,8.222730581727442,129.98187001771478,198.87047442426928,259.8677157144966
2736,12454,98638730000.0,10.994048118591309,369,448645,93300698644480.0,13.969884895796945,308010153.0302722,8.488565032514558,3.2425594329833984,0.511021860083497,0,0.0,3,27754882601.88636,-1.0,1,117202835.21745704,32,301540341389.92896,98.39668214963878,4,492554250.9121145,57,618552192627.6622,116.80347514031264,4,492554250.9121145,110,951939487320.0104,24.44555063030753,5,642601618.9397737,237,1964275649789.1616,6.765365792940529,7,1024536223.1257676,347,2960507168481.58,4.566214200379772,14,2401379072.6256924,797,6674470899641.454,2.298497303928754,25,4337677855.296476,1415,11613096443291.148,1.4849170537409695,13.5-14.0,8.272864209806727,296.5342439843519,231.30166814289933,238.37935027310306
264,2061,116469890000.0,11.066213607788086,319,418698,95636196163584.0,13.980622294147857,282902334.34848034,8.451636531021789,2.6931042671203613,0.4304143997606647,1,247917959.37473667,5,37332835153.805534,794.1734571971102,2,422549424.9322121,12,135126080147.3127,197.7933642992776,3,602236525.7289159,30,411183665530.464,87.35260635523447,5,1191402900.1424122,93,1064929674737.813,30.80693828788441,5,1191402900.1424122,219,1938909663760.2075,6.765365792940529,5,1191402900.1424122,287,2443158393162.0664,2.9758672859855517,14,4094852617.707248,711,6199084647969.926,2.298497303928754,25,5742977950.738479,1366,11167032831901.994,1.4849170537409695,13.5-14.0,8.341324729368557,189.49894587762032,107.646573756274,2.706263147697077
3534,15145,82935900000.0,10.918743133544922,345,434871,97338085343232.0,13.98828279934485,128853922.5992848,8.110097643975738,2.002391576766968,0.3017658434565249,0,0.0,5,69907464247.59178,-1.0,0,0.0,21,187246679846.1501,-1.0,0,0.0,35,271716967097.48883,-1.0,0,0.0,51,408512138540.7792,-1.0,2,238065325.4518405,166,1388101769181.736,2.106146317176212,3,435095428.8925293,279,2187710406067.8728,1.385520371591331,5,1065279358.5101448,618,4458223907802.183,0.1780347514031264,15,3570609724.3619347,1206,9464922463309.637,0.4909502322445818,13.5-14.0,8.390513305442544,2.9015642948336473,15.584278179897403,39.38232349793328
2742,12476,92927030000.0,10.96814250946045,268,384682,101358334115840.0,14.00585946404741,265744578.8313092,8.424464413712126,2.98096251487732,0.4745021797996533,0,0.0,4,43453759664.20384,-1.0,1,122137387.52319498,20,189919762064.79327,98.39668214963878,1,122137387.52319498,29,233475985360.2089,28.45086878507816,3,343205718.5276159,63,571023228028.0552,18.084162972730645,3,343205718.5276159,146,1153472835400.9731,3.659219475764318,4,505853273.3066546,276,2190337230013.928,2.180693828788441,11,1852725986.374808,768,5933905283557.231,1.591676453086878,22,4772344482.597926,1637,13263764936319.666,1.1867270072920535,14.0-14.5,8.504473234425092,135.87303015205197,293.13307314732805,68.45054389946856
1007,5909,132720250000.0,11.122937202453612,263,380828,103605214380032.0,14.015381613705411,151338667.2626106,8.179949905110321,4.477938652038574,0.6511751139598503,1,187022345.32810572,6,99974967911.06956,794.1734571971102,1,187022345.32810572,18,215844312203.7505,98.39668214963878,1,187022345.32810572,31,313078345038.52686,28.45086878507816,2,396406688.8190034,106,911984386778.8073,11.722775315153765,3,1135496749.8624434,197,1652764246760.8315,3.659219475764318,4,1337547388.652591,256,2129701754847.635,2.180693828788441,7,1688133515.4945674,600,4518036739001.559,0.649248651964377,11,2272888543.1860023,1194,9038124393626.648,0.0933635036460267,14.0-14.5,8.566856032021557,21.69230179270003,171.74377675671687,201.57906148509005
3107,13720,75606010000.0,10.87855625152588,274,389202,104744823554048.0,14.02013256951459,552826096.0598629,8.742588535645625,3.2869744300842285,0.5169284314603174,0,0.0,3,33853841208.060093,-1.0,0,0.0,5,48359509217.62296,-1.0,0,0.0,6,56983798891.87785,-1.0,0,0.0,12,83413866854.78395,-1.0,2,295679642.8702875,102,814562911238.6829,2.106146317176212,3,508115999.4556096,182,1550656789157.6072,1.385520371591331,7,1026536408.1485806,460,3644326484974.1343,0.649248651964377,9,1819296950.347345,1060,7918220557600.184,-0.1054298606532508,14.0-14.5,8.598152041163704,126.56969663418955,175.1687057130204,121.63225199291409
630,4106,79189110000.0,10.89866542816162,295,403479,115490999500800.0,14.062548139903948,171359985.3496971,8.233909416358077,2.7545714378356934,0.4402116745361137,0,0.0,7,98743101629.77586,-1.0,1,112697462.58621693,22,252718373512.77823,98.39668214963878,2,265825853.0179026,33,422981810369.14526,57.90173757015632,2,265825853.0179026,64,628638079437.7748,11.722775315153765,2,265825853.0179026,148,1283770286433.2825,2.106146317176212,3,395775213.8926176,199,1623042536707.5198,1.385520371591331,7,946687637.2901746,390,2967839243051.612,0.649248651964377,12,9251862862.247755,898,7426807963420.485,0.1927601857956653,14.0-14.5,8.882672372672205,80.29091009743136,18.526089817223944,100.39854821744908
561,3775,140008500000.0,11.146154403686523,252,373072,118042587561984.0,14.0720387209192,322690156.0467465,8.508785717062453,3.3416852951049805,0.5240954908513459,1,187807562.7211381,3,16087923195.638733,794.1734571971102,1,187807562.7211381,10,53602600470.73523,98.39668214963878,1,187807562.7211381,19,138876806028.40945,28.45086878507816,1,187807562.7211381,74,504025287215.6752,5.361387657576882,2,290739316.1996051,173,1306087106184.724,2.106146317176212,2,290739316.1996051,283,2010041561306.561,0.5903469143942206,2,290739316.1996051,484,3336922828342.3457,-0.5287860994387494,7,1218549317.1223855,1062,7491365621751.272,-0.3042232249525285,14.0-14.5,8.947612569773737,274.6740985754355,40.98714985606732,282.4461636403897
1150,6497,80100246000.0,10.903634071350098,279,392679,118847877152768.0,14.074991428814956,85547684.10093635,7.932208257058909,0.9771528244018556,-0.0095932867161368,0,0.0,6,39079018291.34442,-1.0,0,0.0,26,160294021076.9547,-1.0,0,0.0,42,262856122479.17267,-1.0,0,0.0,74,420475033380.5156,-1.0,0,0.0,133,822434037184.6941,-1.0,1,110024034.73058632,218,1419513474172.0774,-0.2048265428028897,3,352604961.6887114,604,4139019444844.42,-0.2931791491581241,13,4070505509.738694,1489,11342848543927.906,0.2921568679453041,14.0-14.5,8.9679134234648,43.2069510951801,134.29534110200768,210.3344589607322
507,3507,97392410000.0,10.988525390625,221,348989,122974577360896.0,14.089815338650387,428068631.6885778,8.631513404466672,4.18366289138794,0.6216604777876076,1,112951720.24836116,7,45995761378.87365,794.1734571971102,1,112951720.24836116,20,214759483251.5238,98.39668214963878,1,112951720.24836116,41,355193984607.0636,28.45086878507816,1,112951720.24836116,135,1139642263025.4592,5.361387657576882,5,1127567254.435815,256,2124530385826.6245,6.765365792940529,7,1880565932.0815885,336,2832077658296.088,4.566214200379772,11,2549438643.018193,685,5500674166790.6,1.591676453086878,18,3610238503.551445,1237,10000271164045.81,0.7891402786934982,14.0-14.5,9.070530963591125,278.0750618172424,103.31918225937407,253.99230975051668
